BuildingType,ENERGYSTARScore,GHGEmissions(MetricTonsCO2e),LargestPropertyUseType,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFAParking(m2),PropertyGFATotal(m2),SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),YearBuilt,ZipCode
NonResidential,,3.753027273937688,Self-Storage Facility,1.0,3.0,55.0,Self-Storage Facility,,8.788388193194654,Vocational School,7.8707719579491195,7.817717035848355,1911.0,98121.0
NonResidential,67.5,5.633324244340946,Hotel,1.0,24.0,56.0,Hotel,9.859286895759231,10.337323667716957,,,9.728420864604011,1969.0,98101.0
NonResidential,78.5,4.1798339482375155,Office,1.0,5.0,57.0,Large Office,,9.656204637676067,Retail Store,8.716289930592627,9.199399594854064,1973.0,98101.0
NonResidential,,2.811208293204836,Other - Mall,1.0,2.0,58.0,Other,,8.582088357908292,"Personal Services (Health/Beauty, Dry Cleaning, etc)",6.268683642217836,6.482857130578878,1920.0,98101.0
NonResidential,,3.4445761049641,Office,1.0,8.0,59.0,Small- and Mid-Sized Office,,8.615850595011445,Retail Store,6.139593300161318,8.53118679015193,1910.0,98101.0
NonResidential,,6.369661228061952,Other - Entertainment/Public Assembly,1.0,2.0,60.0,Mixed Use Property,,8.493302436289024,Restaurant,7.688556789792959,9.742715101443766,1926.0,98101.0
NonResidential,58.5,4.226760749903353,Hotel,1.0,20.0,62.0,Hotel,6.838432243054047,9.122972398398273,Parking,6.838432243054047,8.720333996003966,1930.0,98101.0
NonResidential,98.5,4.8721775009486885,Hotel,1.0,7.0,65.0,Hotel,,8.796346693178707,Parking,7.151139588422725,8.608923546419645,1985.0,98101.0
NonResidential,99.0,5.387014821309323,Hotel,1.0,7.0,66.0,Hotel,,9.342194814265138,Other - Entertainment/Public Assembly,7.806812526947154,8.780121134970663,1908.0,98101.0
NonResidential,86.0,4.888542986851774,Hotel,1.0,5.0,67.0,Hotel,8.28214221219276,9.260473990061426,Parking,8.28214221219276,8.628006493743877,1959.0,98109.0
NonResidential,83.5,5.2769149602876,Hotel,1.0,7.0,68.0,Hotel,8.07930419278769,9.54520711169956,Restaurant,5.630168657310955,8.889758500520719,2000.0,98109.0
NonResidential,82.0,5.113191882421348,Hotel,1.0,6.0,69.0,Hotel,7.870878346586913,9.287729428167465,Parking,7.874418173292037,8.762369654518054,1997.0,98109.0
NonResidential,81.0,5.041326141417053,Hotel,1.0,6.0,70.0,Hotel,8.135531315666338,9.578857833774968,,,8.885975914587256,1998.0,98119.0
NonResidential,76.5,4.962704760338706,K-12 School,1.0,3.0,73.0,K-12 School,,8.558192947840869,,,8.329587234721846,1911.0,98136.0
NonResidential,94.0,5.139116455744796,Hotel,1.0,4.0,77.0,Hotel,8.335793697864885,9.343269068087643,Parking,8.335793697864885,8.637860051225008,1999.0,98109.0
NonResidential,68.0,4.4629727802782915,Office,1.0,2.0,82.0,Small- and Mid-Sized Office,,8.53859860246215,,,8.29003382259541,1962.0,98122.0
NonResidential,52.0,7.491631530395824,Senior Care Community,1.0,5.0,84.0,Senior Care Community,,9.914228670294301,Parking,,10.83439747685647,1922.0,98126.0
