BuildingType,ENERGYSTARScore,GHGEmissions(MetricTonsCO2e),LargestPropertyUseType,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFAParking(m2),PropertyGFATotal(m2),SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),SiteEnergyUseWN(GJ),YearBuilt,ZipCode
NonResidential,27.0,3.8810482011287157,Office,1.0,3.0,565.0,Large Office,8.279647682388628,9.15936828511176,Parking,7.453372959246669,8.75572160358709,2006.0,98105.0
NonResidential,,4.525748119010601,Other,1.0,3.0,566.0,Other,,8.913633002066769,,,9.545257822962236,1926.0,98122.0
NonResidential,86.5,5.748357418045763,Non-Refrigerated Warehouse,1.0,2.0,568.0,Warehouse,,10.312040591562424,Office,8.632346778348335,9.387157971407683,1991.0,98108.0
NonResidential,76.0,5.375694987569381,Office,1.0,14.0,569.0,Mixed Use Property,,10.248755108052812,Parking,9.584529308080139,9.965438206106075,1932.0,98144.0
NonResidential,,3.5269485869677157,Office,1.0,4.0,570.0,Small- and Mid-Sized Office,7.972294924925533,8.978726809982048,Parking,7.771214732693575,8.55217894724962,1978.0,98102.0
NonResidential,85.5,4.0360973205300725,Distribution Center,1.0,2.0,571.0,Distribution Center,,9.116768715289991,Office,8.049410225704678,7.999308871742301,1989.0,98108.0
NonResidential,,4.0297171482447895,Office,1.0,1.0,572.0,Mixed Use Property,7.239606569745056,8.705943638538482,Parking,7.239606569745056,7.943792138271892,1928.0,98109.0
NonResidential,59.0,3.60576954739093,Office,1.0,5.0,573.0,Large Office,8.73056120140838,9.505340938941087,Parking,8.731011415267563,8.654882037878314,1990.0,98109.0
NonResidential,97.0,4.808315090795611,Retail Store,1.0,2.0,574.0,Retail Store,,10.244668519539777,,,8.959180036675486,1950.0,98125.0
NonResidential,55.0,5.621993799223193,Office,1.0,5.0,575.0,Small- and Mid-Sized Office,,8.990544044452855,,,9.153277975996607,1974.0,98133.0
NonResidential,,3.8522730010223722,Strip Mall,0.0,2.0,576.0,Other,,9.122008777543988,,,8.692379546949823,1969.0,98125.0
NonResidential,53.0,3.8257022989616187,Office,1.0,6.0,577.0,Small- and Mid-Sized Office,,8.991504231473868,Parking,,8.883218036818068,1981.0,98144.0
NonResidential,78.5,3.083514186937524,Distribution Center,1.0,1.0,578.0,Distribution Center,,8.475078041130363,Office,7.376465752462253,7.111626482715064,1976.0,98106.0
NonResidential,67.0,3.9134220263418533,Non-Refrigerated Warehouse,1.0,1.0,579.0,Warehouse,,9.476906196040472,,,7.713075443906712,1968.0,98106.0
NonResidential,,3.977061401607368,Office,1.0,5.0,580.0,Large Office,8.664801079822503,9.568697265016366,Parking,8.72556525397789,8.14350617124004,1986.0,98109.0
NonResidential,,3.894062680051153,Parking,1.0,3.0,581.0,Other,9.05263817424865,9.617849385789269,Medical Office,8.777963718275283,8.913278543208438,2005.0,98133.0
NonResidential,,3.463859142786866,Medical Office,1.0,3.0,582.0,Medical Office,,8.68901656517902,Retail Store,5.706821008832038,8.483414894423351,2005.0,98133.0
NonResidential,,3.5533460588187404,Non-Refrigerated Warehouse,1.0,2.0,583.0,Warehouse,,8.510714521055828,Office,6.837436028586321,7.112953150105332,1948.0,98103.0
NonResidential,36.5,3.9051997800800207,Non-Refrigerated Warehouse,1.0,1.0,584.0,Warehouse,,8.451884788434079,,,7.447850626620741,1980.0,98108.0
NonResidential,27.5,5.6842598081673374,Medical Office,1.0,3.0,585.0,Medical Office,,9.424143591964013,,,9.707605074651282,1961.0,98133.0
NonResidential,77.0,4.498475447317128,Retail Store,1.0,2.0,586.0,Retail Store,,9.659198100625186,,,8.884977651381448,1965.0,98125.0
NonResidential,,7.001445966297956,Parking,0.0,5.0,588.0,Mixed Use Property,9.26175439431422,10.060298712463283,Laboratory,8.96237316748616,10.78174095607409,2002.0,98102.0
NonResidential,89.5,3.849721979230767,Office,1.0,4.0,589.0,Large Office,8.79964413188403,9.701386741025333,Parking,8.799714172157215,8.869253592670717,2000.0,98109.0
NonResidential,92.5,3.039749158970765,Non-Refrigerated Warehouse,1.0,2.0,590.0,Warehouse,,9.183476543819884,,,7.0167908162129855,1969.0,98134.0
NonResidential,,3.9276010353914645,Other,1.0,1.0,592.0,Other,8.259656535910063,8.502602714520453,,,7.6539364693327,2000.0,98134.0
NonResidential,,4.607816680928997,Other,0.0,1.0,594.0,Other,,9.2382808357598,,,7.8811453102243485,1973.0,98134.0
NonResidential,87.0,3.0846584827483925,Office,1.0,1.0,595.0,Small- and Mid-Sized Office,,8.513478501450658,,,7.7215299846519825,1948.0,98134.0
NonResidential,59.5,4.186771802468027,Office,1.0,1.0,596.0,Small- and Mid-Sized Office,,8.443739361272357,,,8.214808287917084,1938.0,98134.0
NonResidential,98.5,3.830270503555887,Office,1.0,4.0,597.0,Large Office,9.1384850076458,10.205484263986444,Parking,9.242868764686074,8.813003836710696,2009.0,98119.0
NonResidential,57.5,4.665700685728123,Non-Refrigerated Warehouse,1.0,1.0,598.0,Warehouse,,8.460082446170006,Office,6.4648154001446,8.031152622183177,1957.0,98134.0
NonResidential,66.5,3.049509979234462,Refrigerated Warehouse,1.0,1.0,599.0,Refrigerated Warehouse,,8.866936789242956,,,8.009477638557108,1971.0,98108.0
NonResidential,66.0,3.6969716240112724,Non-Refrigerated Warehouse,1.0,1.0,600.0,Warehouse,,9.121409850519044,,,8.022815798541517,1956.0,98134.0
NonResidential,78.5,4.0402403032289,Retail Store,1.0,2.0,601.0,Mixed Use Property,,8.501886017332044,Parking,7.843084298307417,8.204737148795964,1904.0,98103.0
NonResidential,,6.4023317045051416,Office,1.0,3.0,602.0,Mixed Use Property,8.467647401404692,9.701574346020724,Parking,8.595750953914063,10.038748353141603,2008.0,98102.0
NonResidential,,6.100072284828913,Other,1.0,3.0,603.0,Other,8.687027387525523,9.666089299395338,Parking,8.687027387525523,9.994795772980947,1920.0,98102.0
NonResidential,57.0,5.8941686470655545,Office,1.0,11.0,604.0,Large Office,,9.357635611320454,Restaurant,7.2788272828983365,9.640237711801,1971.0,98109.0
NonResidential,66.0,3.7740245072708554,Office,1.0,7.0,605.0,Small- and Mid-Sized Office,,9.07487242728225,Parking,7.976706837833464,8.812412051577645,1970.0,98109.0
NonResidential,60.5,2.1564025828159643,Non-Refrigerated Warehouse,1.0,1.0,606.0,Warehouse,,9.064370892438797,,,7.175963717050129,1974.0,98108.0
NonResidential,32.5,5.749727324915197,Supermarket/Grocery Store,1.0,1.0,607.0,Supermarket / Grocery Store,,8.643298708041366,Parking,,9.58698379896725,2002.0,98118.0
NonResidential,100.0,3.3726264246741193,Office,5.0,7.0,608.0,Large Office,,9.569540905960922,,,8.858912954379212,1913.0,98104.0
NonResidential,91.5,2.819293379918192,Office,1.0,5.0,609.0,Small- and Mid-Sized Office,,8.89999104979726,,,7.308720846568633,1904.0,98104.0
NonResidential,61.5,4.887751773050914,Office,1.0,7.0,610.0,Small- and Mid-Sized Office,,9.1311108158453,Retail Store,7.703634043962407,8.873350368328254,1906.0,98104.0
NonResidential,83.0,2.97067084295862,Office,1.0,6.0,611.0,Small- and Mid-Sized Office,,8.825571125993514,,,8.053102040606616,1907.0,98104.0
NonResidential,87.5,4.2589404999108975,Office,1.0,4.0,612.0,Small- and Mid-Sized Office,,8.77743390176555,Retail Store,7.791151782788064,7.816059425493947,1900.0,98104.0
NonResidential,,3.3660882045485874,Office,1.0,4.0,613.0,Small- and Mid-Sized Office,,8.971262114903405,Enclosed Mall,7.8896374592313725,7.8160773988215295,1900.0,98104.0
NonResidential,,3.1828340535209354,Office,1.0,6.0,614.0,Small- and Mid-Sized Office,7.120823033755088,8.855636043361878,Retail Store,6.807694811621908,8.267489576186607,1900.0,98104.0
NonResidential,79.0,4.826351813988761,Office,1.0,4.0,615.0,Large Office,,9.633737189363199,Retail Store,7.566268941837721,8.992809828686005,1900.0,98104.0
NonResidential,98.0,4.71961432037896,Office,1.0,7.0,616.0,Large Office,,9.610348629399383,,,8.496018251194661,1907.0,98104.0
NonResidential,83.0,3.1110678722338956,Office,1.0,6.0,618.0,Small- and Mid-Sized Office,,8.828433528275031,Non-Refrigerated Warehouse,6.780424179130903,8.220746248163454,1909.0,98104.0
Nonresidential COS,,2.5645646680934537,Other,1.0,3.0,619.0,Other,,8.747454626417522,Office,7.512428779289812,7.666279539789299,1906.0,98104.0
NonResidential,37.5,3.420182681573236,Office,1.0,3.0,620.0,Mixed Use Property,,8.569330579376551,Distribution Center,7.424702053421735,7.815984923138141,1910.0,98134.0
NonResidential,84.5,4.217520437749928,Non-Refrigerated Warehouse,1.0,1.0,621.0,Warehouse,,8.948612252236122,Retail Store,7.679236898468894,7.910838937202651,1922.0,98134.0
NonResidential,,4.756001075690675,Other,1.0,2.0,622.0,Other,,8.868088651984516,Distribution Center,7.42192812653901,8.434496307929633,1953.0,98134.0
NonResidential,56.5,4.263524590592881,Distribution Center,1.0,2.0,623.0,Distribution Center,,9.06191679782242,Office,7.1294196107103,8.119239778655523,1962.0,98134.0
NonResidential,,4.370523223415452,Manufacturing/Industrial Plant,2.0,2.0,624.0,Other,,9.364013510178015,,,8.397023936265306,1941.0,98134.0
NonResidential,82.5,3.3719402005950374,Office,1.0,4.0,625.0,Large Office,7.781930860570417,9.391368773004517,,,8.391476346188083,1900.0,98134.0
NonResidential,78.0,2.740194654428777,Non-Refrigerated Warehouse,1.0,1.0,626.0,Warehouse,,8.898647014700746,,,6.73775383158962,1954.0,98134.0
NonResidential,,3.7184382563554808,Office,1.0,4.0,627.0,Small- and Mid-Sized Office,,8.608585208655258,Non-Refrigerated Warehouse,6.982561466755164,7.626299515911589,1904.0,98134.0
NonResidential,22.0,2.8154087194227095,Distribution Center,1.0,6.0,628.0,Distribution Center,6.911102502773019,8.857012651828333,Office,6.882931625806323,7.835143527668666,1910.0,98134.0
NonResidential,,1.9892432737616872,Distribution Center,1.0,4.0,629.0,Distribution Center,,8.561717902088033,Non-Refrigerated Warehouse,6.758339748220609,7.008892358197014,1907.0,98134.0
NonResidential,32.5,4.670723816727531,Office,1.0,4.0,630.0,Small- and Mid-Sized Office,,8.733887994124652,Retail Store,6.884264071040102,8.58750152409953,1904.0,98104.0
NonResidential,79.5,3.022617602335373,Office,1.0,6.0,632.0,Small- and Mid-Sized Office,6.911102502773019,8.852877128199331,Parking,6.921969172002411,8.054784265412797,1909.0,98104.0
NonResidential,78.0,4.24642166510245,Office,1.0,7.0,633.0,Large Office,,9.748240596785948,Data Center,3.630154249262441,9.265973037250308,1904.0,98104.0
NonResidential,38.0,5.259134652672774,Office,1.0,7.0,634.0,Large Office,,10.194006301805196,Retail Store,7.024927096842975,10.246780796315887,2009.0,98104.0
NonResidential,51.0,5.202191854450653,Office,1.0,2.0,635.0,Small- and Mid-Sized Office,,8.698407621651693,,,8.783778786161049,1914.0,98134.0
NonResidential,,6.111711212202338,Parking,1.0,6.0,637.0,Mixed Use Property,9.248035344178472,10.187548179462699,Office,9.220580452024237,11.111111686965506,2009.0,98134.0
NonResidential,21.5,4.57779898919196,Non-Refrigerated Warehouse,1.0,7.0,638.0,Warehouse,,9.501716830173383,,,8.505366582155103,1926.0,98134.0
NonResidential,17.5,3.9200903765059048,Office,1.0,3.0,639.0,Small- and Mid-Sized Office,,8.635719239802285,,,8.598679645123038,1930.0,98104.0
NonResidential,57.5,4.570061008874523,Retail Store,1.0,1.0,641.0,Retail Store,,9.2130392374801,,,8.949572376160265,1993.0,98134.0
NonResidential,73.5,3.859149515821078,Non-Refrigerated Warehouse,1.0,1.0,642.0,Warehouse,,9.127524343866137,,,7.681832210735777,1926.0,98134.0
NonResidential,29.5,3.7057365711803594,Distribution Center,1.0,1.0,647.0,Distribution Center,,8.81815906704238,,,7.9518008548610535,1953.0,98106.0
NonResidential,91.0,3.4370470345558526,Office,0.0,4.0,649.0,Small- and Mid-Sized Office,,8.870466712243099,,,8.138569147376762,1930.0,98134.0
NonResidential,2.5,4.035213615983344,Office,1.0,6.0,650.0,Small- and Mid-Sized Office,8.131140020271193,9.05014417651722,Parking,8.07832487362422,9.054748828817901,2001.0,98105.0
NonResidential,15.0,5.948400457636955,Medical Office,1.0,5.0,651.0,Medical Office,8.217982816595715,9.392089443491708,Parking,8.15994244232782,9.7977702691237,2008.0,98109.0
NonResidential,43.0,4.030161533445187,Office,1.0,5.0,652.0,Large Office,7.317863067710823,9.459577874892005,Parking,7.317863067710823,9.049739425982724,1991.0,98106.0
NonResidential,68.0,4.160990236751815,Retail Store,1.0,1.0,654.0,Retail Store,,8.567070531801098,,,7.8722224801916605,1973.0,98108.0
NonResidential,57.0,6.474330414476904,Medical Office,1.0,0.0,656.0,Medical Office,,9.95201171872552,,,9.944016718179473,2004.0,98104.0
NonResidential,25.0,6.886230269236544,Parking,0.0,0.0,657.0,Mixed Use Property,,10.778451582906882,Multifamily Housing,10.361195863111874,10.790854812049561,2006.0,98121.0
NonResidential,,5.240741218410441,Office,1.0,11.0,658.0,Large Office,,10.276199237082041,Data Center,6.087171474379439,10.220605132452993,2000.0,98104.0
NonResidential,,2.8769487375640237,Office,1.0,6.0,660.0,Small- and Mid-Sized Office,,9.113662615032386,Data Center,7.016379681625097,7.896318433844549,1926.0,98101.0
NonResidential,47.0,5.3607990864193305,Medical Office,1.0,10.0,661.0,Medical Office,9.862244115221333,10.577752916006581,,,9.827160656145871,1985.0,98104.0
NonResidential,61.0,3.716980884224811,Medical Office,1.0,7.0,671.0,Medical Office,,9.080156203142542,,,8.71053198831553,1987.0,98122.0
NonResidential,79.0,4.4937915980047025,Retail Store,0.0,1.0,673.0,Retail Store,,9.082407635020624,,,8.666735307359335,2005.0,98106.0
NonResidential,59.5,4.842216642471293,Medical Office,1.0,9.0,674.0,Medical Office,9.15005730403958,10.244965689493458,Parking,8.989038281731332,9.63878276294433,2008.0,98122.0
NonResidential,60.0,7.545109583519075,Medical Office,1.0,15.0,675.0,Medical Office,10.053017286505092,10.605694774293642,Parking,10.053017286505092,10.998286632854839,2008.0,98104.0
NonResidential,51.5,5.844543917364444,Medical Office,1.0,19.0,677.0,Medical Office,9.584017952785738,10.299599200752686,Parking,8.768138068285431,9.706197620486796,1973.0,98104.0
NonResidential,93.5,5.643997083920163,Office,1.0,6.0,678.0,Large Office,,9.857104587139137,Retail Store,7.886465453852891,9.124074324274206,1900.0,98104.0
NonResidential,50.0,3.12060125559986,Office,1.0,6.0,679.0,Small- and Mid-Sized Office,,8.569330579376551,Retail Store,6.882931625806323,8.151873316447077,1900.0,98104.0
NonResidential,91.0,3.1027913458473986,Office,1.0,4.0,680.0,Small- and Mid-Sized Office,,8.8082224876589,,,7.90576812131736,1925.0,98134.0
NonResidential,93.0,3.564590928570591,Office,1.0,4.0,681.0,Large Office,9.084295771442964,9.78459390259195,Parking,8.913583003316727,8.5841314950395,2000.0,98109.0
NonResidential,,5.494665095075083,Other - Recreation,1.0,3.0,682.0,Other,6.976248478261721,8.762222178223185,Parking,6.976248478261721,9.066636958007622,2001.0,98121.0
NonResidential,,6.288620351709295,Strip Mall,3.0,1.0,683.0,Other,,9.157832254128275,Parking,,10.038640660447784,1994.0,98118.0
NonResidential,83.5,4.812062396716251,Office,1.0,14.0,685.0,Large Office,,10.423327644218881,Parking,9.115237305787952,9.781497738023985,2008.0,98101.0
NonResidential,,5.64052313501701,Lifestyle Center,3.0,2.0,689.0,Other,,8.930145091615705,,,9.572767135808522,1994.0,98109.0
NonResidential,91.0,4.683056724645162,Office,1.0,23.0,690.0,Large Office,,10.821147627558265,Parking,9.34228437950737,9.712831344776257,2001.0,98101.0
NonResidential,,3.636269503841639,Parking,1.0,6.0,692.0,Other,9.81541977822073,10.151892014841945,Office,8.899129046346577,8.655794395618893,1983.0,98121.0
NonResidential,90.0,3.465267042902101,Office,1.0,5.0,693.0,Small- and Mid-Sized Office,,9.123317047721002,,,8.47521539378366,1982.0,98119.0
NonResidential,16.0,4.46585064573868,Office,1.0,1.0,694.0,Large Office,7.8772762758357135,9.600026514410052,Multifamily Housing,8.066760030152734,9.127031269476955,2007.0,98134.0
NonResidential,1.0,5.870327455388976,Office,1.0,1.0,696.0,Large Office,,9.186468646525752,,,10.080150737364113,1978.0,98119.0
NonResidential,31.5,5.054747868714577,Supermarket/Grocery Store,1.0,1.0,700.0,Supermarket / Grocery Store,,8.577690598560523,Retail Store,7.239606569745056,9.49309102756772,2008.0,98119.0
NonResidential,52.0,3.97902723420862,Retail Store,1.0,1.0,701.0,Retail Store,,8.456693013216375,,,7.934540766799292,1978.0,98121.0
NonResidential,57.0,3.9607179269669044,Office,1.0,2.0,702.0,Small- and Mid-Sized Office,,8.657544936199407,,,7.862333696710522,1937.0,98119.0
NonResidential,1.5,5.129069969241354,Office,1.0,4.0,703.0,Large Office,8.538889553875316,9.638174343636594,Parking,8.538889553875316,10.148598497803972,2000.0,98119.0
NonResidential,1.0,5.2171073111224935,Office,1.0,4.0,704.0,Large Office,8.281060444573217,9.395630994648576,Parking,8.281060444573217,10.228235284131909,2000.0,98119.0
NonResidential,57.0,3.9899095440852173,Office,1.0,5.0,705.0,Large Office,8.556390068100818,9.606336356336787,Parking,8.448726106890522,9.009502590816828,2000.0,98119.0
NonResidential,54.5,4.652816839455444,Office,1.0,5.0,706.0,Large Office,8.376648660588202,9.746296454935534,Parking,8.376648660588202,9.672364960176578,2008.0,98119.0
NonResidential,95.0,4.843753921790179,Office,1.0,5.0,707.0,Large Office,8.899078317113846,9.870103554409948,Parking,8.899078317113846,8.755464242773419,1986.0,98119.0
NonResidential,64.5,4.493623911243179,Office,1.0,7.0,708.0,Large Office,8.917114261080544,10.157326850106218,Parking,9.00461130166429,9.513172609595605,1986.0,98121.0
NonResidential,77.5,4.230985697912959,Office,1.0,3.0,709.0,Large Office,,9.763359931132543,Non-Refrigerated Warehouse,6.791338339311582,9.295058649514834,1993.0,98121.0
NonResidential,98.5,4.789822358120328,Office,1.0,5.0,710.0,Large Office,9.301113238788524,10.05718459121637,Data Center,7.074496049681455,9.809379297727281,2000.0,98121.0
NonResidential,80.0,2.1701959049483004,Non-Refrigerated Warehouse,1.0,5.0,711.0,Warehouse,,9.570649535555585,,,7.348045161753293,1912.0,98101.0
NonResidential,,3.9815490680767565,Office,1.0,6.0,712.0,Large Office,7.2187233588286315,9.21595354508224,Adult Education,7.214015220078147,8.548951016816572,1918.0,98006.0
NonResidential,72.0,3.8328715671227083,Office,1.0,6.0,713.0,Large Office,,9.654686667297527,Retail Store,7.517288810118503,8.871036040957577,1905.0,98104.0
NonResidential,95.0,5.564290495837602,Office,1.0,5.0,714.0,Large Office,8.002279812953612,9.794039282181666,Parking,7.997292271442572,9.005665990188087,1911.0,98104.0
NonResidential,87.0,4.407024078847165,Office,1.0,6.0,715.0,Large Office,,9.25504278144898,Retail Store,7.309132632393665,8.521311362081194,1910.0,98104.0
NonResidential,,4.248852321146172,Other,1.0,6.0,716.0,Retail Store,,8.98827294894817,Retail Store,7.136761406452879,8.142402888580689,1910.0,98104.0
Nonresidential COS,51.5,4.887638691386985,Non-Refrigerated Warehouse,1.0,2.0,717.0,Warehouse,,9.509379172992551,Office,8.414026971808967,9.153057285314313,1985.0,98134.0
NonResidential,68.5,4.88778946409741,Office,1.0,2.0,718.0,Large Office,,9.258023409587118,Parking,8.58334131644615,9.242760439228007,1951.0,98134.0
NonResidential,95.0,1.960798761549064,Distribution Center,1.0,1.0,719.0,Distribution Center,,9.237593991510876,Office,6.934981776562963,6.9804092789663805,1960.0,98134.0
NonResidential,93.0,4.487399650253583,Non-Refrigerated Warehouse,1.0,4.0,720.0,Warehouse,,9.541398014550344,Office,7.942307963109813,8.106196900664631,1951.0,98103.0
NonResidential,11.0,4.410978456623649,Non-Refrigerated Warehouse,1.0,3.0,722.0,Warehouse,,9.118766229253945,,,8.867867471227884,1951.0,98121.0
NonResidential,53.0,3.0084016766546537,Distribution Center,1.0,1.0,723.0,Distribution Center,,8.967360708997198,Office,7.743931107168686,8.032339436576537,1970.0,98134.0
NonResidential,,4.763113664054046,Distribution Center,1.0,1.0,725.0,Distribution Center,,8.826594353341564,Parking,,8.475394230226712,1961.0,98134.0
NonResidential,,3.9163137868453024,Distribution Center,1.0,2.0,727.0,Distribution Center,,8.572429828176974,Office,5.984574361805644,7.709482152861722,1928.0,98134.0
NonResidential,13.5,5.234551879875649,Non-Refrigerated Warehouse,1.0,2.0,728.0,Warehouse,,8.645703558161125,,,8.707065872883234,1931.0,98134.0
NonResidential,78.0,3.66612246699132,Distribution Center,1.0,1.0,729.0,Distribution Center,,9.249233473809197,,,7.6908740033189265,1987.0,98134.0
NonResidential,,5.10230248262208,Other - Public Services,3.0,2.0,730.0,Other,,8.684861423688455,Parking,,9.023385421289706,1986.0,98134.0
NonResidential,,3.236519260040796,Non-Refrigerated Warehouse,3.0,2.0,731.0,Mixed Use Property,7.4685996458481565,9.220635624438042,Multifamily Housing,7.7235952835574535,8.266316858220021,1930.0,98134.0
NonResidential,93.0,5.684412753642573,Supermarket/Grocery Store,1.0,1.0,732.0,Supermarket / Grocery Store,8.102355868024292,9.486608478162067,Parking,,9.831029158424586,1970.0,98117.0
NonResidential,5.5,3.499533282383017,Office,1.0,4.0,734.0,Small- and Mid-Sized Office,7.5786944302567365,9.054344446024968,,,8.51908281681509,2001.0,98107.0
NonResidential,,4.414554326369317,Non-Refrigerated Warehouse,0.0,3.0,735.0,Warehouse,,8.56152239692874,Retail Store,7.574267643390831,7.96325356861304,1974.0,98199.0
NonResidential,,6.585260895411588,Other,1.0,6.0,738.0,Other,,9.49746622635937,Parking,7.704136914525742,10.211029451565091,2006.0,98105.0
NonResidential,73.5,4.120012308970678,Office,1.0,4.0,739.0,Large Office,9.018562196280294,9.842903478199633,Parking,7.997042240187363,9.139555381689622,2008.0,98103.0
NonResidential,17.0,4.5081635680459415,Office,1.0,2.0,740.0,Small- and Mid-Sized Office,7.781930860570417,8.87761898138314,,,9.175408061708582,2000.0,98103.0
NonResidential,52.5,3.9305503100420296,Office,1.0,5.0,741.0,Large Office,,9.236789060587462,Other,6.687264265776132,8.950040632242155,1998.0,98109.0
NonResidential,,5.709333704694526,Parking,1.0,5.0,742.0,Mixed Use Property,9.172576207524633,10.191818767785126,Office,9.009472560703987,9.999637845946173,2008.0,98109.0
NonResidential,,7.052154279652244,Laboratory,1.0,4.0,743.0,Laboratory,7.442928293578763,9.282971782842202,,,10.555113232390903,1999.0,98102.0
NonResidential,88.5,4.182965753875629,Office,1.0,7.0,744.0,Large Office,8.970542091737128,10.019977432426892,Parking,8.955504393280282,9.095608998652555,2000.0,98119.0
NonResidential,84.5,4.135566476763683,Office,1.0,5.0,745.0,Large Office,7.461148839692291,9.165605514181314,Parking,7.250480566296933,8.542413627657828,1974.0,98109.0
NonResidential,,5.5663960418559935,Office,1.0,3.0,748.0,Small- and Mid-Sized Office,,8.873971213703014,Parking,8.039513286876534,9.473541790248778,1902.0,98121.0
NonResidential,65.0,4.680880445222567,Office,1.0,8.0,749.0,Large Office,7.694073459841662,9.542191662739102,Parking,7.705978612756741,9.208693550938479,1975.0,98121.0
NonResidential,82.0,4.995995317356741,Office,1.0,7.0,750.0,Large Office,,10.146004770939772,,,9.76910871413313,1953.0,98101.0
NonResidential,84.5,5.4919085156002225,Office,1.0,15.0,751.0,Large Office,9.28755744433352,10.466455855253727,Parking,8.80267937518022,9.875638935199934,1983.0,98121.0
NonResidential,86.5,5.813249546856819,Office,1.0,11.0,752.0,Large Office,,9.661573419759181,Bar/Nightclub,6.867286060229193,9.397794417876097,1963.0,98121.0
NonResidential,90.5,4.696472344394877,Office,1.0,19.0,754.0,Large Office,9.028896325072182,10.48093510211419,Parking,8.971851911440703,9.727053847102797,1981.0,98101.0
NonResidential,67.5,6.3892418462622365,Medical Office,1.0,18.0,755.0,Medical Office,7.894359362317689,10.428528901158048,Parking,7.849263439805975,10.133504445652896,1925.0,98101.0
NonResidential,73.5,4.841743157613962,Retail Store,1.0,4.0,756.0,Retail Store,,8.89999104979726,,,9.18161005705125,1929.0,98101.0
NonResidential,,4.982235819574558,Office,1.0,4.0,759.0,Mixed Use Property,,8.548299684841394,Performing Arts,7.2594091970412356,8.316882127551946,1908.0,98122.0
NonResidential,92.0,4.966056250698289,Office,1.0,10.0,760.0,Large Office,,9.421890459157549,Retail Store,,8.547537529241474,1908.0,98101.0
NonResidential,55.0,3.3228754148866857,Retail Store,1.0,3.0,761.0,Retail Store,,8.951817653546643,,,7.925990571300559,1940.0,98101.0
NonResidential,39.0,4.141387168555412,Retail Store,1.0,3.0,762.0,Retail Store,,8.88254373071956,,,9.032394558679739,1924.0,98101.0
NonResidential,61.0,2.955430976780465,Office,1.0,6.0,763.0,Small- and Mid-Sized Office,,8.467647401404692,Restaurant,6.483732559276805,7.975031939965515,1909.0,98121.0
NonResidential,46.5,5.787112082243206,Office,1.0,29.0,764.0,Large Office,,10.724290977011952,Parking,8.712858139720842,10.525982881648423,1970.0,98101.0
NonResidential,,5.767883400062725,Office,1.0,27.0,765.0,Large Office,7.120823033755088,9.909474806896071,Parking,7.120823033755088,9.121943476573596,1929.0,98101.0
NonResidential,13.0,4.8877140805837485,Office,1.0,13.0,766.0,Large Office,,9.774228881223431,Other,7.0688182487647735,9.907242894919946,1921.0,98104.0
NonResidential,25.0,4.778535084739154,Office,1.0,13.0,767.0,Large Office,8.842100427944724,10.2144658433584,Parking,8.788629005157091,9.803709975972899,1998.0,98104.0
NonResidential,80.0,3.8279890098181366,Office,1.0,7.0,768.0,Large Office,,9.338491196969498,Retail Store,7.273879163687152,8.692485891344962,1910.0,98101.0
NonResidential,88.5,2.624668592163159,Office,1.0,3.0,769.0,Small- and Mid-Sized Office,,8.488514498064738,,,7.661846917788922,1921.0,98104.0
NonResidential,63.5,5.112499705497373,Office,1.0,17.0,771.0,Large Office,,9.290648636903194,Financial Office,6.412699399005586,8.91845163213768,1911.0,98101.0
NonResidential,84.5,4.0637994403939395,Office,1.0,22.0,774.0,Large Office,9.122181283188901,9.958952730589116,Parking,8.886825658157342,9.150253556740298,1970.0,98104.0
NonResidential,16.0,4.508769411701737,Medical Office,1.0,5.0,776.0,Medical Office,9.129842916664611,9.769799899164102,Parking,8.736248988033811,9.123041964098219,1988.0,98104.0
NonResidential,,1.884034745337226,College/University,1.0,2.0,777.0,University,,8.627932199774026,Parking,,6.630519967743066,1916.0,98122.0
NonResidential,83.5,3.5677000322622194,Office,1.0,6.0,778.0,Small- and Mid-Sized Office,7.1489522014769245,9.085433260243386,Parking,6.668559020847213,8.416743268620753,1910.0,98104.0
NonResidential,76.0,5.9730204965283855,Office,1.0,9.0,779.0,Large Office,,9.947021013240663,,,9.745326768814685,1971.0,98104.0
NonResidential,96.5,4.5632538428868,Office,1.0,8.0,780.0,Large Office,9.358172666108942,10.632460351292835,Parking,9.269831606385106,9.58279936644365,1998.0,98104.0
NonResidential,,4.007969346475355,Other,1.0,2.0,782.0,Other,,8.600446361392478,,,7.5538176843256934,1939.0,98104.0
NonResidential,30.0,3.4106525404329107,Office,1.0,6.0,783.0,Small- and Mid-Sized Office,,8.664640759180877,Restaurant,6.8741311098530495,8.474451279341539,1907.0,98134.0
NonResidential,82.5,4.250992122247946,Non-Refrigerated Warehouse,1.0,1.0,784.0,Warehouse,,8.826062405787232,Parking,,7.971162224045059,1960.0,98134.0
Nonresidential COS,,5.187665096444442,Other,1.0,4.0,785.0,Other,,9.12790778332272,Office,8.425130230402461,9.636040041443055,1944.0,98134.0
NonResidential,,4.295515132725903,Other,1.0,1.0,786.0,Other,,8.723224234490225,Office,7.156587214024963,8.760933801715526,1985.0,98134.0
