OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),GHGEmissions(MetricTonsCO2e)
21442,NonResidential,Small- and Mid-Sized Office,98109.0,2007,1.0,4,8.699708858009666,7.734140196734069,Office,Parking,7.592608108317479,92.5,7.9389832614130675,4.25405120762004
21443,NonResidential,Small- and Mid-Sized Office,98109.0,1928,1.0,3,8.256430182980157,6.333596147278457,Office,Laboratory,6.140994281076946,1.0,9.185672583849357,5.500523246647367
21445,NonResidential,Large Office,98109.0,2013,1.0,6,9.404537497440305,9.144694724280114,Office,Parking,9.019743199145118,92.0,8.962104610850297,4.467286478624705
21447,NonResidential,Small- and Mid-Sized Office,98109.0,1926,1.0,4,8.10894544672342,,Office,Retail Store,6.637396384177213,39.0,7.725798200952997,2.6905648867611904
21459,NonResidential,Mixed Use Property,98109.0,1964,1.0,4,7.755698303183546,6.5205260071586055,Office,Parking,6.6109979103226815,46.0,6.354754636043073,1.3164082336557241
21464,Nonresidential COS,Other,98109.0,1966,1.0,1,8.43715880626807,,Other,,,,8.087307920847925,4.895448884287139
21465,Nonresidential COS,Other,98109.0,1962,1.0,1,8.12375971049132,,Other,,,,7.817526033776179,4.155753190350744
21468,NonResidential,Other,98101.0,1916,1.0,2,7.78657124012692,,Other - Entertainment/Public Assembly,Restaurant,5.996892937102689,,7.189876469446994,2.214300178126474
21469,NonResidential,Small- and Mid-Sized Office,98101.0,1919,1.0,4,8.396194222409061,,Office,Retail Store,6.671622532139116,76.5,7.716637984906944,4.271304549231829
21471,NonResidential,Other,98101.0,1904,1.0,7,8.33661757704619,,Other,Retail Store,5.5098824914364535,,6.079267939857809,1.4883995840570443
21478,Campus,Mixed Use Property,98101.0,1900,1.0,2,8.429074687868109,,Retail Store,Restaurant,6.755098254296438,,8.538980347896786,4.56168840737613
21482,Campus,Restaurant,98101.0,1912,1.0,2,7.765517830929087,,Restaurant,Food Sales,6.391908629336513,,8.89269427549379,5.401370221604118
21483,NonResidential,Small- and Mid-Sized Office,98101.0,1915,1.0,6,8.23815294356194,,Office,Retail Store,7.32026447276251,,8.025283435239267,3.844707298143279
21488,NonResidential,Mixed Use Property,98121.0,1990,1.0,4,8.939067984826744,8.081173755423274,Parking,Office,7.849154726428687,92.0,7.560024087819381,2.4714836294558595
21495,NonResidential,Small- and Mid-Sized Office,98101.0,1910,1.0,4,8.11950990416682,,Office,,,42.0,7.652889300254271,2.6181254935742233
21496,NonResidential,Mixed Use Property,98101.0,1918,1.0,1,8.075901259523485,,Other - Restaurant/Bar,Office,6.291653157362059,,8.58309946573595,4.934653773073627
21505,NonResidential,Small- and Mid-Sized Office,98121.0,1909,1.0,5,8.73475533577703,,Office,,,100.0,7.42455070391252,2.6616571615324998
21506,NonResidential,Mixed Use Property,98121.0,1910,1.0,3,7.910508141357681,,Office,Multifamily Housing,6.981871573661227,,7.841038842580321,4.3299435548036564
21508,NonResidential,Other,98121.0,1930,0.0,2,7.654361724760313,,Food Service,,,,5.699935480738156,0.6805683983530851
21515,NonResidential,Small- and Mid-Sized Office,98102.0,2000,1.0,3,8.4535099027479,7.137204636126975,Office,Parking,7.137204636126975,15.0,8.098420160291003,3.0851158346886765
