OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal(m2),PropertyGFAParking(m2),LargestPropertyUseType,SecondLargestPropertyUseType,ENERGYSTARScore,SourceEUIWN(GJ/m2),SiteEnergyUseWN(GJ),SteamUse(GJ),Electricity(kWh),NaturalGas(GJ),TotalGHGEmissions(MetricTonsCO2e)
26833,NonResidential,Small- and Mid-Sized Office,Sixth & King Associates,98104.0,5247801875,2,DOWNTOWN,1993,0.0,3,2006.705664,0.0,Office,Restaurant,,1985.1286498768713,1649556.1089074998,0.0,311577.04689999996,572431.24348,36.225
26838,NonResidential,Hotel,Panama Hotel,98104.0,5247801965,2,DOWNTOWN,1910,1.0,5,3767.40407808,0.0,Hotel,,99.0,545.6832608181701,1484048.0554125,0.0,66123.69922000001,1008153.6149899999,52.325
26847,NonResidential,Small- and Mid-Sized Office,KOBE PARK BUILDING,98104.0,5247802080,2,DOWNTOWN,1909,1.0,3,2920.1283532800003,0.0,Office,Other,,1625.6932026696109,1511687.52817375,0.0,419929.25,0.0,9.989999999999998
26849,NonResidential,Retail Store,C & T BLDG,98104.0,5247802260,2,DOWNTOWN,1917,1.0,2,2280.769632,0.0,Retail Store,Office,100.0,193.06171682781098,666095.57974625,0.0,24253.200194999998,116574.63446,6.445
26870,SPS-District K-12,K-12 School,John Stanford Int'l Elementary,98105.0,4206901020,4,LAKE UNION,2000,1.0,2,5671.91639808,0.0,K-12 School,,82.0,1140.1997524376488,2623663.7289924994,0.0,487246.04689999996,649385.20976,44.28
26883,NonResidential,Other,Washington Hall,98122.0,4226900030,3,CENTRAL,1908,1.0,3,2402.84422656,0.0,Social/Meeting Hall,Office,,811.9948323653724,991244.33348689,0.0,78343.4492,606998.17426,32.42
26924,Nonresidential COS,Mixed Use Property,Yesler Community Center,98122.0,9821700009,2,EAST,2005,0.0,2,2741.3829043200003,661.4696448000001,Other - Recreation,Fitness Center/Health Club/Gym,,2098.1265867934244,2543679.762275,0.0,216492.70315000002,1363716.74794,73.79499999999999
26930,NonResidential,Senior Care Community,Seattle Keiro,98122.0,9826700565,3,CENTRAL,1987,1.0,2,6952.8635136,0.0,Senior Care Community,,48.0,2720.466660724988,9150244.71097,0.0,1194675.8125,4515029.56683,255.695
26933,Nonresidential COS,Other,Langston Hughes Performing Arts Center,98144.0,9826700795,3,CENTRAL,1913,1.0,3,1950.22061568,0.0,Performing Arts,Social/Meeting Hall,,1486.007323141062,2870857.560985,0.0,162945.20315000002,1771698.9544,93.06
26939,NonResidential,K-12 School,First Place,98122.0,9826701245,3,CENTRAL,1925,1.0,2,2075.8255257600003,0.0,K-12 School,,44.5,1467.836878297341,1772331.0012812498,0.0,156136.39844999998,972476.7610899999,52.665
26956,NonResidential,University,Kerry Hall,98121.0,9831200125,3,EAST,1921,1.0,3,2963.606976,0.0,College/University,,,2027.1479637766106,3004024.3327699997,0.0,231481.29690000002,1751530.4274399998,93.67500000000001
26961,Nonresidential COS,Other,Loyal Heights Community Center,98117.0,6021504080,6,BALLARD,1950,1.0,2,2732.92872768,0.0,Other - Recreation,Fitness Center/Health Club/Gym,,1241.2732281382505,1849314.4433,0.0,194060.64844999998,913100.0944099999,50.58
26973,NonResidential,Mixed Use Property,New Central,98104.0,6054550000,2,DOWNTOWN,1909,1.0,3,4580.02696896,0.0,Office,Multifamily Housing,,939.1884485157858,5387428.08409,0.0,390338.65625,2057282.5951999999,112.845
26986,NonResidential,Supermarket / Grocery Store,Admiral,98116.0,6087100195,1,SOUTHWEST,1997,1.0,1,2958.12569664,0.0,Supermarket/Grocery Store,Office,,9600.27749968283,14042236.665199999,0.0,1824997.125,6800766.41395,385.75
26994,NonResidential,Mixed Use Property,Arboretum Court 2,98122.0,5332200210,3,EAST,1988,1.0,2,1954.30834944,0.0,Parking,Fitness Center/Health Club/Gym,,3140.6597650848344,2966296.178465,0.0,401934.20314999996,1383771.8559499998,79.22
26997,NonResidential,Mixed Use Property,Trader Joes/AAA,98105.0,5335200281,4,NORTHEAST,1999,1.0,2,3059.11130112,0.0,Parking,Retail Store,10.0,6012.168859059939,5841225.2159899995,0.0,1622623.4375,0.0,38.595
27007,NonResidential,Worship Facility,Seattle Community Church,98105.0,5364200005,4,NORTHEAST,1954,1.0,2,1861.6840185600001,0.0,Worship Facility,,99.5,201.57913884775564,119685.107963657,0.0,33247.15039,0.0,0.79
27008,SPS-District K-12,K-12 School,Laurelhurst Elementary,98105.0,5364200330,4,NORTHEAST,1928,1.0,2,5104.37172672,0.0,K-12 School,,94.5,819.9444582988983,2696731.3817625,0.0,192795.45315000002,1485605.71962,79.37
27013,NonResidential,Warehouse,Northwest Wholesale Florists,98108.0,5367200820,2,GREATER DUWAMISH,1960,1.0,1,4131.95560704,0.0,Non-Refrigerated Warehouse,,33.5,948.8415254536244,1427746.8226912497,0.0,284071.54689999996,320144.76875,22.869999999999997
